density,tasks,k,method,normalized_accuracy,mean_raw_accuracy
1.0,DTD|SUN397,2,ties,0.7690063486209531,0.595
1.0,DTD|SVHN,2,ties,0.7295038705137227,0.6605000000000001
1.0,EuroSAT|GTSRB,2,ties,0.7185959595959596,0.7155
1.0,EuroSAT|MNIST,2,ties,0.8623826479438315,0.861
1.0,EuroSAT|RESISC45,2,ties,0.83375,0.817
1.0,EuroSAT|SUN397,2,ties,0.8323930481283421,0.7164999999999999
1.0,EuroSAT|SVHN,2,ties,0.7583163265306123,0.7505
1.0,GTSRB|MNIST,2,ties,0.7840901492355856,0.7795000000000001
1.0,GTSRB|RESISC45,2,ties,0.705050505050505,0.6855
1.0,GTSRB|SUN397,2,ties,0.7336749851455735,0.6165
1.0,GTSRB|SVHN,2,ties,0.7375386518243661,0.726
1.0,MNIST|RESISC45,2,ties,0.8683289451688398,0.8505
1.0,MNIST|SUN397,2,ties,0.9012190314258284,0.7855000000000001
1.0,MNIST|SVHN,2,ties,0.8933095203979284,0.8835
1.0,RESISC45|SUN397,2,ties,0.8633132798573975,0.731
1.0,RESISC45|SVHN,2,ties,0.7893388605442178,0.7655000000000001
1.0,SUN397|SVHN,2,ties,0.8438666375641166,0.722
