tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|RESISC45|SUN397,3,task_arithmetic,0.9030363522658806,0.7709999999999999
Cars|RESISC45|SUN397,3,ties,0.8400419399222508,0.714
Cars|RESISC45|SVHN,3,weight_averaging,0.89798579194416,0.8373333333333334
Cars|RESISC45|SVHN,3,task_arithmetic,0.8840094959609671,0.824
Cars|RESISC45|SVHN,3,ties,0.776594139697886,0.7213333333333333
Cars|SUN397|SVHN,3,weight_averaging,0.9225973300108206,0.7953333333333333
Cars|SUN397|SVHN,3,task_arithmetic,0.9139143808578911,0.7869999999999999
Cars|SUN397|SVHN,3,ties,0.8115067624588819,0.6920000000000001
DTD|EuroSAT|GTSRB,3,weight_averaging,0.8318586687897032,0.783
DTD|EuroSAT|GTSRB,3,task_arithmetic,0.8055808827188137,0.7583333333333333
DTD|EuroSAT|GTSRB,3,ties,0.6081118574911678,0.5683333333333334
DTD|EuroSAT|MNIST,3,weight_averaging,0.8781050985468721,0.8316666666666667
DTD|EuroSAT|MNIST,3,task_arithmetic,0.8633755815887728,0.8183333333333334
DTD|EuroSAT|MNIST,3,ties,0.716766888514476,0.6779999999999999
DTD|EuroSAT|RESISC45,3,weight_averaging,0.8478669950738915,0.7906666666666666
DTD|EuroSAT|RESISC45,3,task_arithmetic,0.8364609332238642,0.7803333333333334
DTD|EuroSAT|RESISC45,3,ties,0.702922619047619,0.6543333333333333
DTD|EuroSAT|SUN397,3,weight_averaging,0.8763676053493498,0.7513333333333333
DTD|EuroSAT|SUN397,3,task_arithmetic,0.8661468524713961,0.7416666666666667
DTD|EuroSAT|SUN397,3,ties,0.7161833724085245,0.6030000000000001
DTD|EuroSAT|SVHN,3,weight_averaging,0.8478252404410039,0.7949999999999999
DTD|EuroSAT|SVHN,3,task_arithmetic,0.8286969270466807,0.7773333333333333
DTD|EuroSAT|SVHN,3,ties,0.658018296973962,0.615
DTD|GTSRB|MNIST,3,weight_averaging,0.8575117001499596,0.809
DTD|GTSRB|MNIST,3,task_arithmetic,0.8404047549259045,0.793
DTD|GTSRB|MNIST,3,ties,0.6738402249590988,0.6333333333333333
DTD|GTSRB|RESISC45,3,weight_averaging,0.8335207058267402,0.7726666666666667
DTD|GTSRB|RESISC45,3,task_arithmetic,0.8132120673068948,0.7533333333333333
DTD|GTSRB|RESISC45,3,ties,0.63902899064537,0.5886666666666667
DTD|GTSRB|SUN397,3,weight_averaging,0.8480492649863848,0.722
DTD|GTSRB|SUN397,3,task_arithmetic,0.8307319305290907,0.7056666666666667
DTD|GTSRB|SUN397,3,ties,0.6754837567210793,0.561
DTD|GTSRB|SVHN,3,weight_averaging,0.8522670998040457,0.7976666666666666
DTD|GTSRB|SVHN,3,task_arithmetic,0.8298894409731847,0.7766666666666667
DTD|GTSRB|SVHN,3,ties,0.6324454964849053,0.588
DTD|MNIST|RESISC45,3,weight_averaging,0.8703612548098593,0.8116666666666666
DTD|MNIST|RESISC45,3,task_arithmetic,0.8579172468829587,0.8006666666666667
DTD|MNIST|RESISC45,3,ties,0.7521239862169979,0.7026666666666667
DTD|MNIST|SUN397,3,weight_averaging,0.8782985350420921,0.7543333333333333
DTD|MNIST|SUN397,3,task_arithmetic,0.8710325192449048,0.7483333333333334
DTD|MNIST|SUN397,3,ties,0.7835936442221829,0.6706666666666666
DTD|MNIST|SVHN,3,weight_averaging,0.8826344974402448,0.8296666666666667
DTD|MNIST|SVHN,3,task_arithmetic,0.8684484135022944,0.8170000000000001
DTD|MNIST|SVHN,3,ties,0.7571077765315651,0.7133333333333334
DTD|RESISC45|SUN397,3,weight_averaging,0.8497853699996195,0.7146666666666667
DTD|RESISC45|SUN397,3,task_arithmetic,0.8397702210455759,0.7056666666666667
DTD|RESISC45|SUN397,3,ties,0.7531770453740535,0.6303333333333333
DTD|RESISC45|SVHN,3,weight_averaging,0.8472549652044726,0.783
DTD|RESISC45|SVHN,3,task_arithmetic,0.8269562710141528,0.7646666666666667
DTD|RESISC45|SVHN,3,ties,0.6965996168582375,0.6436666666666667
DTD|SUN397|SVHN,3,weight_averaging,0.8661304020040618,0.7353333333333333
DTD|SUN397|SVHN,3,task_arithmetic,0.8540379788278948,0.725
DTD|SUN397|SVHN,3,ties,0.7351444653096348,0.618
EuroSAT|GTSRB|MNIST,3,weight_averaging,0.9065082013717921,0.9026666666666667
EuroSAT|GTSRB|MNIST,3,task_arithmetic,0.8920809499204685,0.8883333333333333
EuroSAT|GTSRB|MNIST,3,ties,0.700007368908071,0.6973333333333334
EuroSAT|GTSRB|RESISC45,3,weight_averaging,0.8719031986531988,0.8576666666666667
EuroSAT|GTSRB|RESISC45,3,task_arithmetic,0.8547508417508417,0.8406666666666668
EuroSAT|GTSRB|RESISC45,3,ties,0.6824486531986532,0.6699999999999999
EuroSAT|GTSRB|SUN397,3,weight_averaging,0.9011744899980193,0.8210000000000001
