tasks,k,method,normalized_accuracy,mean_raw_accuracy
DTD|EuroSAT|RESISC45,3,ties,0.6896200282087119,0.6346666666666666
DTD|EuroSAT|SUN397,3,weight_averaging,0.8728420370660963,0.7320000000000001
DTD|EuroSAT|SUN397,3,task_arithmetic,0.8571278073794487,0.718
DTD|EuroSAT|SUN397,3,ties,0.7381269162263919,0.6083333333333334
DTD|EuroSAT|SVHN,3,weight_averaging,0.8080043849218694,0.7486666666666667
DTD|EuroSAT|SVHN,3,task_arithmetic,0.7906619191242964,0.7319999999999999
DTD|EuroSAT|SVHN,3,ties,0.6164074574652546,0.5670000000000001
DTD|GTSRB|MNIST,3,weight_averaging,0.8340224467532668,0.7783333333333333
DTD|GTSRB|MNIST,3,task_arithmetic,0.8184277415283008,0.7636666666666666
DTD|GTSRB|MNIST,3,ties,0.654190816036135,0.607
DTD|GTSRB|RESISC45,3,weight_averaging,0.8020356882408,0.735
DTD|GTSRB|RESISC45,3,task_arithmetic,0.7844662096086205,0.7186666666666667
DTD|GTSRB|RESISC45,3,ties,0.6183362841471799,0.5626666666666666
DTD|GTSRB|SUN397,3,weight_averaging,0.8475763966353499,0.7036666666666666
DTD|GTSRB|SUN397,3,task_arithmetic,0.8263935998470714,0.6846666666666668
DTD|GTSRB|SUN397,3,ties,0.6841632199005748,0.5523333333333333
DTD|GTSRB|SVHN,3,weight_averaging,0.8367112066159302,0.7759999999999999
DTD|GTSRB|SVHN,3,task_arithmetic,0.8169737250320388,0.7566666666666667
DTD|GTSRB|SVHN,3,ties,0.5986165501834445,0.5473333333333333
DTD|MNIST|RESISC45,3,weight_averaging,0.8538904205710299,0.789
DTD|MNIST|RESISC45,3,task_arithmetic,0.8347352396495248,0.7723333333333334
DTD|MNIST|RESISC45,3,ties,0.7200265402262275,0.666
DTD|MNIST|SUN397,3,weight_averaging,0.8941483563432154,0.7520000000000001
DTD|MNIST|SUN397,3,task_arithmetic,0.882258147974258,0.7416666666666667
DTD|MNIST|SUN397,3,ties,0.7835471301274429,0.6533333333333333
DTD|MNIST|SVHN,3,weight_averaging,0.8684260402679017,0.8096666666666666
DTD|MNIST|SVHN,3,task_arithmetic,0.8546063950449955,0.797
DTD|MNIST|SVHN,3,ties,0.7196903523226549,0.6696666666666666
DTD|RESISC45|SUN397,3,weight_averaging,0.8514245099749735,0.701
DTD|RESISC45|SUN397,3,task_arithmetic,0.8448357915010821,0.6953333333333332
DTD|RESISC45|SUN397,3,ties,0.7580235854138699,0.6196666666666667
DTD|RESISC45|SVHN,3,weight_averaging,0.8133064831520014,0.7436666666666666
DTD|RESISC45|SVHN,3,task_arithmetic,0.7880577528489039,0.7203333333333334
DTD|RESISC45|SVHN,3,ties,0.6449631830813476,0.587
DTD|SUN397|SVHN,3,weight_averaging,0.8576808308973006,0.7103333333333334
DTD|SUN397|SVHN,3,task_arithmetic,0.8389586681115025,0.6936666666666667
DTD|SUN397|SVHN,3,ties,0.7099480077130594,0.5766666666666667
EuroSAT|GTSRB|MNIST,3,weight_averaging,0.8432990509219195,0.839
EuroSAT|GTSRB|MNIST,3,task_arithmetic,0.8261696159468425,0.8220000000000001
EuroSAT|GTSRB|MNIST,3,ties,0.6671219544004566,0.664
EuroSAT|GTSRB|RESISC45,3,weight_averaging,0.8234358358111725,0.8103333333333333
EuroSAT|GTSRB|RESISC45,3,task_arithmetic,0.8049615585649654,0.7919999999999999
EuroSAT|GTSRB|RESISC45,3,ties,0.6376045705411651,0.6266666666666666
EuroSAT|GTSRB|SUN397,3,weight_averaging,0.8652973960233824,0.7760000000000001
EuroSAT|GTSRB|SUN397,3,task_arithmetic,0.8520907763662441,0.763
EuroSAT|GTSRB|SUN397,3,ties,0.699241082031622,0.6110000000000001
EuroSAT|GTSRB|SVHN,3,weight_averaging,0.825733264455069,0.8163333333333332
EuroSAT|GTSRB|SVHN,3,task_arithmetic,0.8081344502397134,0.799
EuroSAT|GTSRB|SVHN,3,ties,0.5975437692229673,0.5910000000000001
